datum,monat,wochentag,feiertag,arbeitstag
2016-10-05,Oktober,Mittwoch,,1
2016-10-06,Oktober,Donnerstag,,1
2016-10-07,Oktober,Freitag,,1
2016-10-08,Oktober,Samstag,,0
2016-10-09,Oktober,Sonntag,,0
2016-10-10,Oktober,Montag,,1
2016-10-11,Oktober,Dienstag,,1
2016-10-12,Oktober,Mittwoch,,1
2016-10-13,Oktober,Donnerstag,,1
2016-10-14,Oktober,Freitag,,1
2016-10-15,Oktober,Samstag,,0
2016-10-16,Oktober,Sonntag,,0
2016-10-17,Oktober,Montag,,1
2016-10-18,Oktober,Dienstag,,1
2016-10-19,Oktober,Mittwoch,,1
2016-10-20,Oktober,Donnerstag,,1
2016-10-21,Oktober,Freitag,,1
2016-10-22,Oktober,Samstag,,0
2016-10-23,Oktober,Sonntag,,0
2016-10-24,Oktober,Montag,,1
2016-10-25,Oktober,Dienstag,,1
2016-10-26,Oktober,Mittwoch,,1
2016-10-27,Oktober,Donnerstag,,1
2016-10-28,Oktober,Freitag,,1
2016-10-29,Oktober,Samstag,,0
2016-10-30,Oktober,Sonntag,,0
2016-10-31,Oktober,Montag,,1
2016-11-01,November,Dienstag,Allerheiligen,0
2016-11-02,November,Mittwoch,,1
2016-11-03,November,Donnerstag,,1
2016-11-04,November,Freitag,,1
2016-11-05,November,Samstag,,0
2016-11-06,November,Sonntag,,0
2016-11-07,November,Montag,,1
2016-11-08,November,Dienstag,,1
2016-11-09,November,Mittwoch,,1
2016-11-10,November,Donnerstag,,1
2016-11-11,November,Freitag,,1
2016-11-12,November,Samstag,,0
2016-11-13,November,Sonntag,,0
2016-11-14,November,Montag,,1
2016-11-15,November,Dienstag,,1
2016-11-16,November,Mittwoch,,1
2016-11-17,November,Donnerstag,,1
2016-11-18,November,Freitag,,1
2016-11-19,November,Samstag,,0
2016-11-20,November,Sonntag,,0
2016-11-21,November,Montag,,1
2016-11-22,November,Dienstag,,1
2016-11-23,November,Mittwoch,,1
2016-11-24,November,Donnerstag,,1
2016-11-25,November,Freitag,,1
2016-11-26,November,Samstag,,0
2016-11-27,November,Sonntag,,0
2016-11-28,November,Montag,,1
2016-11-29,November,Dienstag,,1
2016-11-30,November,Mittwoch,,1
2016-12-01,Dezember,Donnerstag,,1
2016-12-02,Dezember,Freitag,,1
2016-12-03,Dezember,Samstag,,0
2016-12-04,Dezember,Sonntag,,0
2016-12-05,Dezember,Montag,,1
2016-12-06,Dezember,Dienstag,,1
2016-12-07,Dezember,Mittwoch,,1
2016-12-08,Dezember,Donnerstag,,1
2016-12-09,Dezember,Freitag,,1
2016-12-10,Dezember,Samstag,,0
2016-12-11,Dezember,Sonntag,,0
2016-12-12,Dezember,Montag,,1
2016-12-13,Dezember,Dienstag,,1
2016-12-14,Dezember,Mittwoch,,1
2016-12-15,Dezember,Donnerstag,,1
2016-12-16,Dezember,Freitag,,1
2016-12-17,Dezember,Samstag,,0
2016-12-18,Dezember,Sonntag,,0
2016-12-19,Dezember,Montag,,1
2016-12-20,Dezember,Dienstag,,1
2016-12-21,Dezember,Mittwoch,,1
2016-12-22,Dezember,Donnerstag,,1
2016-12-23,Dezember,Freitag,,1
2016-12-24,Dezember,Samstag,,0
2016-12-25,Dezember,Sonntag,Erster Weihnachtsfeiertag,0
2016-12-26,Dezember,Montag,Zweiter Weihnachtsfeiertag,0
2016-12-27,Dezember,Dienstag,,1
2016-12-28,Dezember,Mittwoch,,1
2016-12-29,Dezember,Donnerstag,,1
2016-12-30,Dezember,Freitag,,1
2016-12-31,Dezember,Samstag,,0
2017-01-01,Januar,Sonntag,Neujahr,0
2017-01-02,Januar,Montag,,1
2017-01-03,Januar,Dienstag,,1
2017-01-04,Januar,Mittwoch,,1
2017-01-05,Januar,Donnerstag,,1
2017-01-06,Januar,Freitag,Heilige Drei Koenige,0
2017-01-07,Januar,Samstag,,0
2017-01-08,Januar,Sonntag,,0
2017-01-09,Januar,Montag,,1
2017-01-10,Januar,Dienstag,,1
2017-01-11,Januar,Mittwoch,,1
2017-01-12,Januar,Donnerstag,,1
2017-01-13,Januar,Freitag,,1
2017-01-14,Januar,Samstag,,0
2017-01-15,Januar,Sonntag,,0
2017-01-16,Januar,Montag,,1
2017-01-17,Januar,Dienstag,,1
2017-01-18,Januar,Mittwoch,,1
2017-01-19,Januar,Donnerstag,,1
2017-01-20,Januar,Freitag,,1
2017-01-21,Januar,Samstag,,0
2017-01-22,Januar,Sonntag,,0
2017-01-23,Januar,Montag,,1
2017-01-24,Januar,Dienstag,,1
2017-01-25,Januar,Mittwoch,,1
2017-01-26,Januar,Donnerstag,,1
2017-01-27,Januar,Freitag,,1
2017-01-28,Januar,Samstag,,0
2017-01-29,Januar,Sonntag,,0
2017-01-30,Januar,Montag,,1
2017-01-31,Januar,Dienstag,,1
2017-02-01,Februar,Mittwoch,,1
2017-02-02,Februar,Donnerstag,,1
2017-02-03,Februar,Freitag,,1
2017-02-04,Februar,Samstag,,0
2017-02-05,Februar,Sonntag,,0
2017-02-06,Februar,Montag,,1
2017-02-07,Februar,Dienstag,,1
2017-02-08,Februar,Mittwoch,,1
2017-02-09,Februar,Donnerstag,,1
2017-02-10,Februar,Freitag,,1
2017-02-11,Februar,Samstag,,0
2017-02-12,Februar,Sonntag,,0
2017-02-13,Februar,Montag,,1
2017-02-14,Februar,Dienstag,,1
2017-02-15,Februar,Mittwoch,,1
2017-02-16,Februar,Donnerstag,,1
2017-02-17,Februar,Freitag,,1
2017-02-18,Februar,Samstag,,0
2017-02-19,Februar,Sonntag,,0
2017-02-20,Februar,Montag,,1
2017-02-21,Februar,Dienstag,,1
2017-02-22,Februar,Mittwoch,,1
2017-02-23,Februar,Donnerstag,,1
2017-02-24,Februar,Freitag,,1
2017-02-25,Februar,Samstag,,0
2017-02-26,Februar,Sonntag,,0
2017-02-27,Februar,Montag,,1
2017-02-28,Februar,Dienstag,,1
2017-03-01,Maerz,Mittwoch,,1
2017-03-02,Maerz,Donnerstag,,1
2017-03-03,Maerz,Freitag,,1
2017-03-04,Maerz,Samstag,,0
2017-03-05,Maerz,Sonntag,,0
2017-03-06,Maerz,Montag,,1
2017-03-07,Maerz,Dienstag,,1
2017-03-08,Maerz,Mittwoch,,1
2017-03-09,Maerz,Donnerstag,,1
2017-03-10,Maerz,Freitag,,1
2017-03-11,Maerz,Samstag,,0
2017-03-12,Maerz,Sonntag,,0
2017-03-13,Maerz,Montag,,1
2017-03-14,Maerz,Dienstag,,1
2017-03-15,Maerz,Mittwoch,,1
2017-03-16,Maerz,Donnerstag,,1
2017-03-17,Maerz,Freitag,,1
2017-03-18,Maerz,Samstag,,0
2017-03-19,Maerz,Sonntag,,0
2017-03-20,Maerz,Montag,,1
2017-03-21,Maerz,Dienstag,,1
2017-03-22,Maerz,Mittwoch,,1
2017-03-23,Maerz,Donnerstag,,1
2017-03-24,Maerz,Freitag,,1
2017-03-25,Maerz,Samstag,,0
2017-03-26,Maerz,Sonntag,,0
2017-03-27,Maerz,Montag,,1
2017-03-28,Maerz,Dienstag,,1
2017-03-29,Maerz,Mittwoch,,1
2017-03-30,Maerz,Donnerstag,,1
2017-03-31,Maerz,Freitag,,1
2017-04-01,April,Samstag,,0
2017-04-02,April,Sonntag,,0
2017-04-03,April,Montag,,1
2017-04-04,April,Dienstag,,1
2017-04-05,April,Mittwoch,,1
2017-04-06,April,Donnerstag,,1
2017-04-07,April,Freitag,,1
2017-04-08,April,Samstag,,0
2017-04-09,April,Sonntag,,0
2017-04-10,April,Montag,,1
2017-04-11,April,Dienstag,,1
2017-04-12,April,Mittwoch,,1
2017-04-13,April,Donnerstag,,1
2017-04-14,April,Freitag,Karfreitag,0
2017-04-15,April,Samstag,,0
2017-04-16,April,Sonntag,,0
2017-04-17,April,Montag,Ostermontag,0
2017-04-18,April,Dienstag,,1
2017-04-19,April,Mittwoch,,1
2017-04-20,April,Donnerstag,,1
2017-04-21,April,Freitag,,1
2017-04-22,April,Samstag,,0
2017-04-23,April,Sonntag,,0
2017-04-24,April,Montag,,1
2017-04-25,April,Dienstag,,1
2017-04-26,April,Mittwoch,,1
2017-04-27,April,Donnerstag,,1
2017-04-28,April,Freitag,,1
2017-04-29,April,Samstag,,0
2017-04-30,April,Sonntag,,0
2017-05-01,Mai,Montag,Erster Mai,0
2017-05-02,Mai,Dienstag,,1
2017-05-03,Mai,Mittwoch,,1
2017-05-04,Mai,Donnerstag,,1
2017-05-05,Mai,Freitag,,1
2017-05-06,Mai,Samstag,,0
2017-05-07,Mai,Sonntag,,0
2017-05-08,Mai,Montag,,1
2017-05-09,Mai,Dienstag,,1
2017-05-10,Mai,Mittwoch,,1
2017-05-11,Mai,Donnerstag,,1
2017-05-12,Mai,Freitag,,1
2017-05-13,Mai,Samstag,,0
2017-05-14,Mai,Sonntag,,0
2017-05-15,Mai,Montag,,1
2017-05-16,Mai,Dienstag,,1
2017-05-17,Mai,Mittwoch,,1
2017-05-18,Mai,Donnerstag,,1
2017-05-19,Mai,Freitag,,1
2017-05-20,Mai,Samstag,,0
2017-05-21,Mai,Sonntag,,0
2017-05-22,Mai,Montag,,1
2017-05-23,Mai,Dienstag,,1
2017-05-24,Mai,Mittwoch,,1
2017-05-25,Mai,Donnerstag,Christi Himmelfahrt,0
2017-05-26,Mai,Freitag,,1
2017-05-27,Mai,Samstag,,0
2017-05-28,Mai,Sonntag,,0
2017-05-29,Mai,Montag,,1
2017-05-30,Mai,Dienstag,,1
2017-05-31,Mai,Mittwoch,,1
2017-06-01,Juni,Donnerstag,,1
2017-06-02,Juni,Freitag,,1
2017-06-03,Juni,Samstag,,0
2017-06-04,Juni,Sonntag,,0
2017-06-05,Juni,Montag,Pfingstmontag,0
2017-06-06,Juni,Dienstag,,1
2017-06-07,Juni,Mittwoch,,1
2017-06-08,Juni,Donnerstag,,1
2017-06-09,Juni,Freitag,,1
2017-06-10,Juni,Samstag,,0
2017-06-11,Juni,Sonntag,,0
2017-06-12,Juni,Montag,,1
2017-06-13,Juni,Dienstag,,1
2017-06-14,Juni,Mittwoch,,1
2017-06-15,Juni,Donnerstag,Fronleichnam,0
2017-06-16,Juni,Freitag,,1
2017-06-17,Juni,Samstag,,0
2017-06-18,Juni,Sonntag,,0
2017-06-19,Juni,Montag,,1
2017-06-20,Juni,Dienstag,,1
2017-06-21,Juni,Mittwoch,,1
2017-06-22,Juni,Donnerstag,,1
2017-06-23,Juni,Freitag,,1
2017-06-24,Juni,Samstag,,0
2017-06-25,Juni,Sonntag,,0
2017-06-26,Juni,Montag,,1
2017-06-27,Juni,Dienstag,,1
2017-06-28,Juni,Mittwoch,,1
2017-06-29,Juni,Donnerstag,,1
2017-06-30,Juni,Freitag,,1
2017-07-01,Juli,Samstag,,0
2017-07-02,Juli,Sonntag,,0
2017-07-03,Juli,Montag,,1
2017-07-04,Juli,Dienstag,,1
2017-07-05,Juli,Mittwoch,,1
2017-07-06,Juli,Donnerstag,,1
2017-07-07,Juli,Freitag,,1
2017-07-08,Juli,Samstag,,0
2017-07-09,Juli,Sonntag,,0
2017-07-10,Juli,Montag,,1
2017-07-11,Juli,Dienstag,,1
2017-07-12,Juli,Mittwoch,,1
2017-07-13,Juli,Donnerstag,,1
2017-07-14,Juli,Freitag,,1
2017-07-15,Juli,Samstag,,0
2017-07-16,Juli,Sonntag,,0
2017-07-17,Juli,Montag,,1
2017-07-18,Juli,Dienstag,,1
2017-07-19,Juli,Mittwoch,,1
2017-07-20,Juli,Donnerstag,,1
2017-07-21,Juli,Freitag,,1
2017-07-22,Juli,Samstag,,0
2017-07-23,Juli,Sonntag,,0
2017-07-24,Juli,Montag,,1
2017-07-25,Juli,Dienstag,,1
2017-07-26,Juli,Mittwoch,,1
2017-07-27,Juli,Donnerstag,,1
2017-07-28,Juli,Freitag,,1
2017-07-29,Juli,Samstag,,0
2017-07-30,Juli,Sonntag,,0
2017-07-31,Juli,Montag,,1
2017-08-01,August,Dienstag,,1
2017-08-02,August,Mittwoch,,1
2017-08-03,August,Donnerstag,,1
2017-08-04,August,Freitag,,1
2017-08-05,August,Samstag,,0
2017-08-06,August,Sonntag,,0
2017-08-07,August,Montag,,1
2017-08-08,August,Dienstag,,1
2017-08-09,August,Mittwoch,,1
2017-08-10,August,Donnerstag,,1
2017-08-11,August,Freitag,,1
2017-08-12,August,Samstag,,0
2017-08-13,August,Sonntag,,0
2017-08-14,August,Montag,,1
2017-08-15,August,Dienstag,,1
2017-08-16,August,Mittwoch,,1
2017-08-17,August,Donnerstag,,1
2017-08-18,August,Freitag,,1
2017-08-19,August,Samstag,,0
2017-08-20,August,Sonntag,,0
2017-08-21,August,Montag,,1
2017-08-22,August,Dienstag,,1
2017-08-23,August,Mittwoch,,1
2017-08-24,August,Donnerstag,,1
2017-08-25,August,Freitag,,1
2017-08-26,August,Samstag,,0
2017-08-27,August,Sonntag,,0
2017-08-28,August,Montag,,1
2017-08-29,August,Dienstag,,1
2017-08-30,August,Mittwoch,,1
2017-08-31,August,Donnerstag,,1
2017-09-01,September,Freitag,,1
2017-09-02,September,Samstag,,0
2017-09-03,September,Sonntag,,0
2017-09-04,September,Montag,,1
2017-09-05,September,Dienstag,,1
2017-09-06,September,Mittwoch,,1
2017-09-07,September,Donnerstag,,1
2017-09-08,September,Freitag,,1
2017-09-09,September,Samstag,,0
2017-09-10,September,Sonntag,,0
2017-09-11,September,Montag,,1
2017-09-12,September,Dienstag,,1
2017-09-13,September,Mittwoch,,1
2017-09-14,September,Donnerstag,,1
2017-09-15,September,Freitag,,1
2017-09-16,September,Samstag,,0
2017-09-17,September,Sonntag,,0
2017-09-18,September,Montag,,1
2017-09-19,September,Dienstag,,1
2017-09-20,September,Mittwoch,,1
2017-09-21,September,Donnerstag,,1
2017-09-22,September,Freitag,,1
2017-09-23,September,Samstag,,0
2017-09-24,September,Sonntag,,0
2017-09-25,September,Montag,,1
2017-09-26,September,Dienstag,,1
2017-09-27,September,Mittwoch,,1
2017-09-28,September,Donnerstag,,1
2017-09-29,September,Freitag,,1
2017-09-30,September,Samstag,,0
2017-10-01,Oktober,Sonntag,,0
2017-10-02,Oktober,Montag,,1
2017-10-03,Oktober,Dienstag,Tag der Deutschen Einheit,0
2017-10-04,Oktober,Mittwoch,,1
2017-10-05,Oktober,Donnerstag,,1
2017-10-06,Oktober,Freitag,,1
2017-10-07,Oktober,Samstag,,0
2017-10-08,Oktober,Sonntag,,0
2017-10-09,Oktober,Montag,,1
2017-10-10,Oktober,Dienstag,,1
2017-10-11,Oktober,Mittwoch,,1
2017-10-12,Oktober,Donnerstag,,1
2017-10-13,Oktober,Freitag,,1
2017-10-14,Oktober,Samstag,,0
2017-10-15,Oktober,Sonntag,,0
2017-10-16,Oktober,Montag,,1
2017-10-17,Oktober,Dienstag,,1
2017-10-18,Oktober,Mittwoch,,1
2017-10-19,Oktober,Donnerstag,,1
2017-10-20,Oktober,Freitag,,1
2017-10-21,Oktober,Samstag,,0
2017-10-22,Oktober,Sonntag,,0
2017-10-23,Oktober,Montag,,1
2017-10-24,Oktober,Dienstag,,1
2017-10-25,Oktober,Mittwoch,,1
2017-10-26,Oktober,Donnerstag,,1
2017-10-27,Oktober,Freitag,,1
2017-10-28,Oktober,Samstag,,0
2017-10-29,Oktober,Sonntag,,0
2017-10-30,Oktober,Montag,,1
2017-10-31,Oktober,Dienstag,Reformationstag,0
2017-11-01,November,Mittwoch,Allerheiligen,0
2017-11-02,November,Donnerstag,,1
2017-11-03,November,Freitag,,1
2017-11-04,November,Samstag,,0
2017-11-05,November,Sonntag,,0
2017-11-06,November,Montag,,1
2017-11-07,November,Dienstag,,1
2017-11-08,November,Mittwoch,,1
2017-11-09,November,Donnerstag,,1
2017-11-10,November,Freitag,,1
2017-11-11,November,Samstag,,0
2017-11-12,November,Sonntag,,0
2017-11-13,November,Montag,,1
2017-11-14,November,Dienstag,,1
2017-11-15,November,Mittwoch,,1
2017-11-16,November,Donnerstag,,1
2017-11-17,November,Freitag,,1
2017-11-18,November,Samstag,,0
2017-11-19,November,Sonntag,,0
2017-11-20,November,Montag,,1
2017-11-21,November,Dienstag,,1
2017-11-22,November,Mittwoch,,1
2017-11-23,November,Donnerstag,,1
2017-11-24,November,Freitag,,1
2017-11-25,November,Samstag,,0
2017-11-26,November,Sonntag,,0
2017-11-27,November,Montag,,1
2017-11-28,November,Dienstag,,1
2017-11-29,November,Mittwoch,,1
2017-11-30,November,Donnerstag,,1
2017-12-01,Dezember,Freitag,,1
2017-12-02,Dezember,Samstag,,0
2017-12-03,Dezember,Sonntag,,0
2017-12-04,Dezember,Montag,,1
2017-12-05,Dezember,Dienstag,,1
2017-12-06,Dezember,Mittwoch,,1
2017-12-07,Dezember,Donnerstag,,1
2017-12-08,Dezember,Freitag,,1
2017-12-09,Dezember,Samstag,,0
2017-12-10,Dezember,Sonntag,,0
2017-12-11,Dezember,Montag,,1
2017-12-12,Dezember,Dienstag,,1
2017-12-13,Dezember,Mittwoch,,1
2017-12-14,Dezember,Donnerstag,,1
2017-12-15,Dezember,Freitag,,1
2017-12-16,Dezember,Samstag,,0
2017-12-17,Dezember,Sonntag,,0
2017-12-18,Dezember,Montag,,1
2017-12-19,Dezember,Dienstag,,1
2017-12-20,Dezember,Mittwoch,,1
2017-12-21,Dezember,Donnerstag,,1
2017-12-22,Dezember,Freitag,,1
2017-12-23,Dezember,Samstag,,0
2017-12-24,Dezember,Sonntag,,0
2017-12-25,Dezember,Montag,Erster Weihnachtsfeiertag,0
2017-12-26,Dezember,Dienstag,Zweiter Weihnachtsfeiertag,0
2017-12-27,Dezember,Mittwoch,,1
2017-12-28,Dezember,Donnerstag,,1
2017-12-29,Dezember,Freitag,,1
2017-12-30,Dezember,Samstag,,0
2017-12-31,Dezember,Sonntag,,0
2018-01-01,Januar,Montag,Neujahr,0
2018-01-02,Januar,Dienstag,,1
2018-01-03,Januar,Mittwoch,,1
2018-01-04,Januar,Donnerstag,,1
2018-01-05,Januar,Freitag,,1
2018-01-06,Januar,Samstag,Heilige Drei Koenige,0
2018-01-07,Januar,Sonntag,,0
2018-01-08,Januar,Montag,,1
2018-01-09,Januar,Dienstag,,1
2018-01-10,Januar,Mittwoch,,1
2018-01-11,Januar,Donnerstag,,1
2018-01-12,Januar,Freitag,,1
2018-01-13,Januar,Samstag,,0
2018-01-14,Januar,Sonntag,,0
2018-01-15,Januar,Montag,,1
2018-01-16,Januar,Dienstag,,1
2018-01-17,Januar,Mittwoch,,1
2018-01-18,Januar,Donnerstag,,1
2018-01-19,Januar,Freitag,,1
2018-01-20,Januar,Samstag,,0
2018-01-21,Januar,Sonntag,,0
2018-01-22,Januar,Montag,,1
2018-01-23,Januar,Dienstag,,1
2018-01-24,Januar,Mittwoch,,1
2018-01-25,Januar,Donnerstag,,1
2018-01-26,Januar,Freitag,,1
2018-01-27,Januar,Samstag,,0
2018-01-28,Januar,Sonntag,,0
2018-01-29,Januar,Montag,,1
2018-01-30,Januar,Dienstag,,1
2018-01-31,Januar,Mittwoch,,1
2018-02-01,Februar,Donnerstag,,1
2018-02-02,Februar,Freitag,,1
2018-02-03,Februar,Samstag,,0
2018-02-04,Februar,Sonntag,,0
2018-02-05,Februar,Montag,,1
2018-02-06,Februar,Dienstag,,1
2018-02-07,Februar,Mittwoch,,1
2018-02-08,Februar,Donnerstag,,1
2018-02-09,Februar,Freitag,,1
2018-02-10,Februar,Samstag,,0
2018-02-11,Februar,Sonntag,,0
2018-02-12,Februar,Montag,,1
2018-02-13,Februar,Dienstag,,1
2018-02-14,Februar,Mittwoch,,1
2018-02-15,Februar,Donnerstag,,1
2018-02-16,Februar,Freitag,,1
2018-02-17,Februar,Samstag,,0
2018-02-18,Februar,Sonntag,,0
2018-02-19,Februar,Montag,,1
2018-02-20,Februar,Dienstag,,1
2018-02-21,Februar,Mittwoch,,1
2018-02-22,Februar,Donnerstag,,1
2018-02-23,Februar,Freitag,,1
2018-02-24,Februar,Samstag,,0
2018-02-25,Februar,Sonntag,,0
2018-02-26,Februar,Montag,,1
2018-02-27,Februar,Dienstag,,1
2018-02-28,Februar,Mittwoch,,1
2018-03-01,Maerz,Donnerstag,,1
2018-03-02,Maerz,Freitag,,1
2018-03-03,Maerz,Samstag,,0
2018-03-04,Maerz,Sonntag,,0
2018-03-05,Maerz,Montag,,1
2018-03-06,Maerz,Dienstag,,1
2018-03-07,Maerz,Mittwoch,,1
2018-03-08,Maerz,Donnerstag,,1
2018-03-09,Maerz,Freitag,,1
2018-03-10,Maerz,Samstag,,0
2018-03-11,Maerz,Sonntag,,0
2018-03-12,Maerz,Montag,,1
2018-03-13,Maerz,Dienstag,,1
2018-03-14,Maerz,Mittwoch,,1
2018-03-15,Maerz,Donnerstag,,1
2018-03-16,Maerz,Freitag,,1
2018-03-17,Maerz,Samstag,,0
2018-03-18,Maerz,Sonntag,,0
2018-03-19,Maerz,Montag,,1
2018-03-20,Maerz,Dienstag,,1
2018-03-21,Maerz,Mittwoch,,1
2018-03-22,Maerz,Donnerstag,,1
2018-03-23,Maerz,Freitag,,1
2018-03-24,Maerz,Samstag,,0
2018-03-25,Maerz,Sonntag,,0
2018-03-26,Maerz,Montag,,1
2018-03-27,Maerz,Dienstag,,1
2018-03-28,Maerz,Mittwoch,,1
2018-03-29,Maerz,Donnerstag,,1
2018-03-30,Maerz,Freitag,Karfreitag,0
2018-03-31,Maerz,Samstag,,0
2018-04-01,April,Sonntag,,0
2018-04-02,April,Montag,Ostermontag,0
2018-04-03,April,Dienstag,,1
2018-04-04,April,Mittwoch,,1
2018-04-05,April,Donnerstag,,1
2018-04-06,April,Freitag,,1
2018-04-07,April,Samstag,,0
2018-04-08,April,Sonntag,,0
2018-04-09,April,Montag,,1
2018-04-10,April,Dienstag,,1
2018-04-11,April,Mittwoch,,1
2018-04-12,April,Donnerstag,,1
2018-04-13,April,Freitag,,1
2018-04-14,April,Samstag,,0
2018-04-15,April,Sonntag,,0
2018-04-16,April,Montag,,1
2018-04-17,April,Dienstag,,1
2018-04-18,April,Mittwoch,,1
2018-04-19,April,Donnerstag,,1
2018-04-20,April,Freitag,,1
2018-04-21,April,Samstag,,0
2018-04-22,April,Sonntag,,0
2018-04-23,April,Montag,,1
2018-04-24,April,Dienstag,,1
2018-04-25,April,Mittwoch,,1
2018-04-26,April,Donnerstag,,1
2018-04-27,April,Freitag,,1
2018-04-28,April,Samstag,,0
2018-04-29,April,Sonntag,,0
2018-04-30,April,Montag,,1
2018-05-01,Mai,Dienstag,Erster Mai,0
2018-05-02,Mai,Mittwoch,,1
2018-05-03,Mai,Donnerstag,,1
2018-05-04,Mai,Freitag,,1
2018-05-05,Mai,Samstag,,0
2018-05-06,Mai,Sonntag,,0
2018-05-07,Mai,Montag,,1
2018-05-08,Mai,Dienstag,,1
2018-05-09,Mai,Mittwoch,,1
2018-05-10,Mai,Donnerstag,Christi Himmelfahrt,0
2018-05-11,Mai,Freitag,,1
2018-05-12,Mai,Samstag,,0
2018-05-13,Mai,Sonntag,,0
2018-05-14,Mai,Montag,,1
2018-05-15,Mai,Dienstag,,1
2018-05-16,Mai,Mittwoch,,1
2018-05-17,Mai,Donnerstag,,1
2018-05-18,Mai,Freitag,,1
2018-05-19,Mai,Samstag,,0
2018-05-20,Mai,Sonntag,,0
2018-05-21,Mai,Montag,Pfingstmontag,0
2018-05-22,Mai,Dienstag,,1
2018-05-23,Mai,Mittwoch,,1
2018-05-24,Mai,Donnerstag,,1
2018-05-25,Mai,Freitag,,1
2018-05-26,Mai,Samstag,,0
2018-05-27,Mai,Sonntag,,0
2018-05-28,Mai,Montag,,1
2018-05-29,Mai,Dienstag,,1
2018-05-30,Mai,Mittwoch,,1
2018-05-31,Mai,Donnerstag,Fronleichnam,0
2018-06-01,Juni,Freitag,,1
2018-06-02,Juni,Samstag,,0
2018-06-03,Juni,Sonntag,,0
2018-06-04,Juni,Montag,,1
2018-06-05,Juni,Dienstag,,1
2018-06-06,Juni,Mittwoch,,1
2018-06-07,Juni,Donnerstag,,1
2018-06-08,Juni,Freitag,,1
2018-06-09,Juni,Samstag,,0
2018-06-10,Juni,Sonntag,,0
2018-06-11,Juni,Montag,,1
2018-06-12,Juni,Dienstag,,1
2018-06-13,Juni,Mittwoch,,1
2018-06-14,Juni,Donnerstag,,1
2018-06-15,Juni,Freitag,,1
2018-06-16,Juni,Samstag,,0
2018-06-17,Juni,Sonntag,,0
2018-06-18,Juni,Montag,,1
2018-06-19,Juni,Dienstag,,1
2018-06-20,Juni,Mittwoch,,1
2018-06-21,Juni,Donnerstag,,1
2018-06-22,Juni,Freitag,,1
2018-06-23,Juni,Samstag,,0
2018-06-24,Juni,Sonntag,,0
2018-06-25,Juni,Montag,,1
2018-06-26,Juni,Dienstag,,1
2018-06-27,Juni,Mittwoch,,1
2018-06-28,Juni,Donnerstag,,1
2018-06-29,Juni,Freitag,,1
2018-06-30,Juni,Samstag,,0
2018-07-01,Juli,Sonntag,,0
2018-07-02,Juli,Montag,,1
2018-07-03,Juli,Dienstag,,1
2018-07-04,Juli,Mittwoch,,1
2018-07-05,Juli,Donnerstag,,1
2018-07-06,Juli,Freitag,,1
